image_name,provenance_file,provenance_sha256,provenance_size_bytes
39_2.jpg,39_2.provenance.json,e033ec8bf82eea4375c8c3514148120103d52e29d387e46fb688371ab7e9f253,276
39_3.jpg,39_3.provenance.json,0dded843e6b28734003587769758c7fac0dcafa802d1383e9b1de70e5d2d748e,276
40_0.jpg,40_0.provenance.json,37d08fc19256e87a4f1d31a941175aced2d5fece5ff415f705b92b17d5c6f98a,276
40_1.jpg,40_1.provenance.json,15e6063966c8305e0d378967bdc80a3fea1191f96e75853ba61d1abd4fde761b,276
41_0.jpg,41_0.provenance.json,a60b257ccfcf5bb99535589463b545dedef3b7d82cb3320a82873da9df1c9df3,276
42_0.jpg,42_0.provenance.json,c9b1f0b3d05daa23c660bc769f6f25e0d51a21d6ad02ce74ab6695f5af523844,276
42_1.jpg,42_1.provenance.json,06bd85a7b76a2ad43f2205722c657694089077daaab816807ea5e2ab686d4cc9,276
42_2.jpg,42_2.provenance.json,3b88b942fb159b99c236fe7a2add05ec9ecbd75e93a56f5d386f8924089d9a99,276
42_3.jpg,42_3.provenance.json,bde8e1dfe09fa78728a45690f0f071f86a2d962e7e0620610a56c02b4f08cb9e,276
43_0.jpg,43_0.provenance.json,c69071a4c585207352342b8a2fada32e5e52e1d93b85e9c90a36839e4747a7cd,276
43_1.jpg,43_1.provenance.json,e3fb5ea45739899264d2e03b23d3544cd06efde9fdb8ce41b5e7a3a19b5f06b5,276
43_2.jpg,43_2.provenance.json,937abfa2bbade9349bdc3b30fe0eb7e16ef516987c84beb0e645f0861b191de3,276
43_3.jpg,43_3.provenance.json,93f0cb9e74d04c21e090ca0f8dc0e3e35c25fc6068e1127884f0e8ee61608c1a,276
44_0.jpg,44_0.provenance.json,6f187481cdb41368d0c1d9cae824eddcdb8e910db3e8ddc28d67f448261fc1f0,276
44_1.jpg,44_1.provenance.json,02d717ded7d0f6354b2cf09e7896deb8e6fa3a8ae2aff653a79f864bb4a1d502,276
44_2.jpg,44_2.provenance.json,7b3bb1c74de4f5d6acb2dee3cfdbe91c1a2b0b11983cde5be1780adc033a4360,276
44_3.jpg,44_3.provenance.json,928b65c829972cfd3e9e396141ee7c4c217a28c35c6149b82c802504cced2d7f,276
44_4.jpg,44_4.provenance.json,d60f241855fd0cdc78d673deeeeaaadb21ffbdaea2fdcfb7824f52fe6cf2c591,276
