record_index,image_name,signed_expected_sha256,original_actual_sha256,tampered_actual_sha256,original_binding_ok,tampering_detected,manifest_hashes_match,technical_error
348,115_0.jpg,ec042476bc937b0ae894a474f6de17761f5b2d497f8e429f3f2ad980e03d176b,ec042476bc937b0ae894a474f6de17761f5b2d497f8e429f3f2ad980e03d176b,b120110637963af7bff838df312d9a74b193011bd06a6fbfa0355c152ff3f0f8,1,1,1,0
349,115_1.jpg,3b350b8f1dad7f5eacfcc73855000c4afe1e43688fb3308781afcf34a957946f,3b350b8f1dad7f5eacfcc73855000c4afe1e43688fb3308781afcf34a957946f,baf49511cb160f44f7f5cfc4984509d7ef11d8bfa4a5faa963936afff97d71e8,1,1,1,0
350,116_0.jpg,d0b0e8bf21983921feaa380719c5783e64ac3d09f430af3f6ba1fee3dd02e579,d0b0e8bf21983921feaa380719c5783e64ac3d09f430af3f6ba1fee3dd02e579,6c363c75a15222b0ab86c6c246a3e9c666909f60af4a394ebafa8cfaf9a6d060,1,1,1,0
351,116_1.jpg,6f1f7ecd939ef2e5ee80b92ff77fa747acb0f2380940ff7d4fa6eadc9592cbcf,6f1f7ecd939ef2e5ee80b92ff77fa747acb0f2380940ff7d4fa6eadc9592cbcf,1b30acec71be31f34e2bdb591ab1bcaed2c9094eb2f52020797b0c624ada59ee,1,1,1,0
352,117_0.jpg,0b3ca7726c04b00619b8472726585f435d2dfbe89c1b059b92cf1fdc7af4d980,0b3ca7726c04b00619b8472726585f435d2dfbe89c1b059b92cf1fdc7af4d980,1dd1828fee63fc16e9d5e97eee004465d9c833299279d8e15038aba20a63d32d,1,1,1,0
353,118_0.jpg,5d8f8186b624fa55bbb7fdf2060dd302c4ab3916801e96d86344dbebc5a1e905,5d8f8186b624fa55bbb7fdf2060dd302c4ab3916801e96d86344dbebc5a1e905,9e277a25c0f6a792f54396c10b85677fdccfb954020ec24de1549ad7d858f8b7,1,1,1,0
354,118_1.jpg,0dd55bb3f801a3530d662a65fb53bc8fb5091b0009304c675c58f0d9abc3b1a6,0dd55bb3f801a3530d662a65fb53bc8fb5091b0009304c675c58f0d9abc3b1a6,50dd69d860f8aa5338e308d109e54035ef3bd83fec8568a47cc03c31ae250013,1,1,1,0
355,119_0.jpg,cfc9696b9f76650a4ac65d6d5e99d127de7d9dcc58d607edc80c124365d2b426,cfc9696b9f76650a4ac65d6d5e99d127de7d9dcc58d607edc80c124365d2b426,4d21b08789c7a9250f074d4299bafb08a31e02c2f9b179f94f38ba70103cbdc9,1,1,1,0
356,119_1.jpg,eded82ba78443066189339eef7f8cba6c3fe4871839655fd72404672b734de28,eded82ba78443066189339eef7f8cba6c3fe4871839655fd72404672b734de28,f12d54895fa865d3eb7c429172a34d45f04070ad692f0e8cde13abfbcebd717a,1,1,1,0
357,120_0.jpg,5de2b81b4bd715d8d8d9a11b5ef94c56ea5de5d124ebe19b8c1d31239e84fa75,5de2b81b4bd715d8d8d9a11b5ef94c56ea5de5d124ebe19b8c1d31239e84fa75,f6fddfacc3c16824be0972402a487bc3f240b376263d42efe03f79a5b7308501,1,1,1,0
358,120_1.jpg,869ae054db47b18998bdaa3f3776f9575ee42456ed4eefcdffafe5dc74b57a4c,869ae054db47b18998bdaa3f3776f9575ee42456ed4eefcdffafe5dc74b57a4c,cecb136123c02154eec2d1c3d412f597f7b42cc6fd7999fbf405d6234140ca97,1,1,1,0
359,121_0.jpg,068a2b89688224c2f5b6206f0e74b484bf46dfcc485f6249e74173d78c433daf,068a2b89688224c2f5b6206f0e74b484bf46dfcc485f6249e74173d78c433daf,ca03d16709aa87984af1291730e8d78c5e4dbc739ab69574bd6d08465f46cbb5,1,1,1,0
360,121_1.jpg,ac0a87b5f95d2915516bbb2f4d771e1d03938dce2b55b7c3a08ae2a86b995a1c,ac0a87b5f95d2915516bbb2f4d771e1d03938dce2b55b7c3a08ae2a86b995a1c,f4078e9e6dc8c2ddaca4cd47fcd6f79500627bc93359b529d25e36d646d0e1f6,1,1,1,0
361,121_2.jpg,0b11cc1a35847f5260239fc36da2f56fa95e4626839d016d927a25e10d567292,0b11cc1a35847f5260239fc36da2f56fa95e4626839d016d927a25e10d567292,c64a82319cacf40db507281a6d80eb87c19f3ac4fd21508b1aed0030df81f096,1,1,1,0
362,122_0.jpg,b5918194554b95e5e47516fdcd6d6eb860efa55af7bb656d50e49bc042b58797,b5918194554b95e5e47516fdcd6d6eb860efa55af7bb656d50e49bc042b58797,6105a9613dbfded6a1fb3602da4a890d9f1b6fa53bbcc1edaed927e6ef76b646,1,1,1,0
363,122_1.jpg,44fa38412305b5244dfa3c8a8df1142137474e21aec52426cb7e4d51534c582f,44fa38412305b5244dfa3c8a8df1142137474e21aec52426cb7e4d51534c582f,3c2d9c1fd8c33c3b6496a723782c7386a825fa7205f0a3d5e1943ffbe4f8d57e,1,1,1,0
364,123_0.jpg,b071ac804d836dc2208e374c4bb477f4205fbef068121c951215b7854835846e,b071ac804d836dc2208e374c4bb477f4205fbef068121c951215b7854835846e,32bb948533ae81cdb391c93ff96add71d126ebcdb07209d2f6c96b478990d85e,1,1,1,0
365,123_1.jpg,e1b67af1d98d895a78a1d5c8fc3c654a9c54264da97b1dba53e7454da0833b10,e1b67af1d98d895a78a1d5c8fc3c654a9c54264da97b1dba53e7454da0833b10,e728e4fdc403e65d4ee11d03aeb1b929e4ea84ddfb1040f731c44f3c7f281c9f,1,1,1,0
366,123_2.jpg,33be1c766744c47f89261e5502f7a6c1a2f7e27aaf0207e63ef095536602b227,33be1c766744c47f89261e5502f7a6c1a2f7e27aaf0207e63ef095536602b227,280e0d218337d542fe21b56400341e88a1080a6331748e4934f04963232e8404,1,1,1,0
367,124_0.jpg,fd957e5edeab369199cc5e3acd42354d4ce586a5ee5f53e6d94e736e2f39c6f9,fd957e5edeab369199cc5e3acd42354d4ce586a5ee5f53e6d94e736e2f39c6f9,581a10d987544a4a57cce5c55f47d41f6065129865819b6ce761a6661540367d,1,1,1,0
368,125_0.jpg,715f294765865ceee4e663326cc6ee37045c53cdaabdf310c925d622739c20fc,715f294765865ceee4e663326cc6ee37045c53cdaabdf310c925d622739c20fc,1f2a810d02e94c79a0188b3ff2bfa0e77a1a922abc8372970f66fddd7838809e,1,1,1,0
369,126_0.jpg,ea72aeaafd27c77088df5b0c60e4261eb262b32d790349113e742c1aa1f21bf9,ea72aeaafd27c77088df5b0c60e4261eb262b32d790349113e742c1aa1f21bf9,253a831edbda9910f6b847eeeffa5435eb4822131058949d71624799f5028809,1,1,1,0
370,126_1.jpg,80833ce6a0d6fc6537d5a03f32bd2236213e6077899930482c4e6850ccead367,80833ce6a0d6fc6537d5a03f32bd2236213e6077899930482c4e6850ccead367,c8b86226ab4cf9ad5d31a379385f291b97b3cc286b4f31a0a5eca4eb78d5d7d7,1,1,1,0
